iter	Passed	Remaining
0	1	138
1	2	139
2	4	132
3	5	128
4	6	126
5	7	125
6	9	122
7	10	119
8	11	114
9	12	114
10	13	111
11	14	108
12	15	106
13	17	105
14	18	103
15	19	101
16	20	100
17	21	99
18	22	97
19	24	97
20	25	95
21	26	95
22	28	94
23	29	93
24	30	92
25	31	90
26	33	89
27	34	88
28	35	87
29	37	86
30	38	86
31	39	84
32	41	83
33	42	82
34	43	81
35	44	79
36	46	78
37	47	76
38	48	75
39	49	74
40	50	72
41	51	70
42	52	69
43	53	68
44	54	66
45	55	65
46	57	64
47	58	63
48	60	62
49	61	61
50	62	60
51	63	58
52	64	57
53	65	56
54	66	54
55	67	53
56	69	52
57	70	51
58	71	49
59	73	48
60	74	47
61	75	46
62	76	45
63	77	43
64	78	42
65	80	41
66	81	40
67	82	38
68	83	37
69	84	36
70	86	35
71	87	33
72	88	32
73	89	31
74	90	30
75	91	28
76	92	27
77	94	26
78	95	25
79	96	24
80	97	22
81	98	21
82	99	20
83	100	19
84	102	18
85	103	16
86	104	15
87	106	14
88	107	13
89	108	12
90	109	10
91	111	9
92	112	8
93	113	7
94	114	6
95	115	4
96	116	3
97	118	2
98	119	1
99	120	0
