iter	Passed	Remaining
0	1	1130
1	2	1010
2	2	975
3	3	916
4	4	892
5	5	854
6	5	822
7	6	808
8	7	804
9	8	799
10	8	785
11	9	786
12	10	787
13	11	790
14	11	786
15	12	780
16	13	780
17	14	773
18	14	773
19	15	769
20	16	765
21	17	763
22	17	759
23	18	757
24	19	754
25	20	750
26	20	745
27	21	742
28	22	739
29	22	733
30	23	731
31	24	729
32	24	730
33	25	729
34	26	728
35	27	728
36	27	725
37	28	722
38	29	721
39	29	717
40	30	716
41	31	714
42	32	712
43	32	710
44	33	710
45	34	708
46	34	707
47	35	706
48	36	704
49	37	703
50	37	701
51	38	700
52	39	699
53	39	697
54	40	696
55	41	697
56	42	695
57	42	693
58	43	691
59	44	691
60	44	690
61	45	688
62	46	687
63	46	685
64	47	685
65	48	683
66	49	682
67	49	680
68	50	678
69	51	677
70	51	677
71	52	677
72	53	676
73	53	674
74	54	673
75	55	673
76	56	673
77	56	672
78	57	672
79	58	670
80	59	669
81	59	668
82	60	663
83	60	661
84	61	660
85	62	659
86	62	657
87	63	656
88	64	655
89	64	654
90	65	652
91	65	651
92	66	649
93	67	648
94	67	647
95	68	646
96	69	644
97	70	645
98	70	644
99	71	642
100	72	642
101	73	642
102	73	642
103	74	642
104	75	641
105	76	641
106	76	640
107	77	639
108	78	641
109	79	641
110	80	641
111	80	641
112	81	640
113	82	640
114	83	639
115	83	639
116	84	637
117	85	637
118	86	636
119	86	636
120	87	636
121	88	635
122	89	637
123	90	638
124	91	639
125	92	639
126	92	638
127	93	638
128	94	638
129	95	637
130	96	637
131	96	636
132	97	635
133	98	634
134	98	633
135	99	633
136	100	634
137	101	634
138	102	633
139	103	633
140	103	632
141	104	630
142	105	629
143	105	629
144	106	628
145	107	627
146	108	627
147	108	626
148	109	626
149	110	625
150	111	625
151	112	625
152	112	624
153	113	623
154	114	623
155	115	623
156	116	623
157	116	622
158	117	622
159	118	622
160	119	620
161	119	619
162	120	620
163	121	620
164	122	619
165	123	619
166	124	618
167	124	617
168	125	617
169	126	616
170	127	616
171	127	615
172	128	614
173	129	614
174	130	614
175	131	614
176	131	613
177	132	612
178	133	612
179	134	611
180	134	610
181	135	609
182	136	608
183	137	607
184	137	606
185	138	606
186	139	605
187	140	605
188	140	604
189	141	603
190	142	603
191	143	602
192	143	601
193	144	601
194	145	601
195	146	601
196	147	600
197	148	599
198	148	598
199	149	597
200	150	596
201	150	595
202	151	594
203	152	593
204	152	592
205	153	591
206	154	590
207	155	590
208	155	589
209	156	588
210	157	587
211	157	586
212	158	586
213	159	585
214	160	585
215	161	584
216	162	586
217	163	585
218	164	584
219	164	584
220	165	583
221	166	582
222	167	582
223	167	581
224	168	581
225	169	581
226	170	580
227	171	580
228	172	579
229	172	578
230	173	577
231	174	577
232	175	576
233	175	575
234	176	574
235	177	573
236	177	572
237	178	572
238	179	571
239	180	571
240	181	570
241	182	570
242	182	569
243	183	568
244	184	567
245	184	566
246	185	565
247	186	564
248	186	563
249	187	562
250	188	562
251	189	561
252	189	560
253	190	560
254	191	559
255	192	558
256	193	558
257	193	557
258	194	556
259	195	555
260	195	554
261	196	554
262	197	553
263	198	552
264	198	551
265	199	550
266	200	550
267	201	549
268	202	549
269	202	548
270	203	547
271	204	546
272	204	545
273	205	545
274	206	544
275	207	543
276	208	542
277	208	542
278	209	541
279	210	540
280	210	539
281	211	538
282	212	537
283	212	536
284	213	535
285	214	535
286	215	534
287	215	533
288	216	532
289	217	531
290	218	531
291	218	530
292	219	530
293	220	529
294	221	528
295	221	527
296	222	526
297	223	525
298	223	524
299	224	524
300	225	523
301	225	522
302	226	521
303	227	520
304	227	519
305	228	518
306	229	517
307	230	516
308	230	515
309	231	515
310	232	514
311	232	513
312	233	512
313	234	511
314	235	511
315	235	510
316	236	509
317	237	508
318	237	507
319	238	506
320	239	505
321	239	505
322	240	504
323	241	503
324	241	502
325	242	501
326	243	500
327	243	499
328	244	498
329	245	497
330	245	496
331	246	495
332	247	494
333	247	494
